time,vehicle_id,real,origin,destination,position,flight_phase,velocity
0.7340443134307861,1003,False,3,5,[-1. -8.  0.],waiting,[-0.14167445 -0.39262421 -0.50131918]
0.7340443134307861,1004,False,4,2,[ 8.  -7.5  0. ],waiting,[-0.5554271  -0.03688025 -0.6551221 ]
0.7340443134307861,1005,False,5,0,[-8.    8.    0.06],queued,[-0.1747302  -0.01447319 -0.59780637]
0.8367640972137451,1000,True,0,1,[-10.61653677  -6.206843     0.9       ],waiting,[ 0.94276743  0.70951111 -0.22904961]
0.8367640972137451,1001,True,1,4,[10.04575944 -4.73608359  1.2       ],queued,[-0.60788138  0.95558497  0.36070581]
0.8367640972137451,1002,True,2,3,[ 0.37708517 12.24964108  1.2       ],queued,[-0.56249787 -0.62983787 -0.05986321]
0.8367640972137451,1003,False,3,5,[-1. -8.  0.],waiting,[-0.14167445 -0.39262421 -0.50131918]
0.8367640972137451,1004,False,4,2,[ 8.  -7.5  0. ],waiting,[-0.5554271  -0.03688025 -0.6551221 ]
0.8367640972137451,1005,False,5,0,[-8.    8.    0.12],queued,[-0.1747302  -0.01447319 -0.59780637]
0.9444172382354736,1000,True,0,1,[-10.61748814  -6.21920677   0.9       ],waiting,[ 0.94276743  0.70951111 -0.22904961]
0.9444172382354736,1001,True,1,4,[10.04952853 -4.73720388  1.2       ],queued,[-0.60788138  0.95558497  0.36070581]
0.9444172382354736,1002,True,2,3,[ 0.3861344  12.25332835  1.2       ],queued,[-0.56249787 -0.62983787 -0.05986321]
0.9444172382354736,1003,False,3,5,[-1. -8.  0.],waiting,[-0.14167445 -0.39262421 -0.50131918]
0.9444172382354736,1004,False,4,2,[ 8.  -7.5  0. ],waiting,[-0.5554271  -0.03688025 -0.6551221 ]
0.9444172382354736,1005,False,5,0,[-8.     8.     0.195],queued,[-0.1747302  -0.01447319 -0.59780637]
1.0401496887207031,1000,True,0,1,[-10.61615855  -6.22391375   1.        ],waiting,[ 0.94276743  0.70951111 -0.22904961]
1.0401496887207031,1001,True,1,4,[10.05094027 -4.73839365  1.2       ],queued,[-0.60788138  0.95558497  0.36070581]
1.0401496887207031,1002,True,2,3,[ 0.39340894 12.25969189  1.2       ],queued,[-0.56249787 -0.62983787 -0.05986321]
